offender_url,other_url,APPROVED_VERSION_CREATED_AT,num_copied_media,num_copied_fonts,num_copied_words,agree?
https://www.canva.com/admin/template/EAFcAmzvcbM,https://www.canva.com/admin/template/EAFaDjnVDL4,2023-03-08 02:18:27,9,2,1,
https://www.canva.com/admin/template/EAFcAJdjkeU,https://www.canva.com/admin/template/EAFaDnFx35I,2023-03-08 00:21:17,5,2,5,
https://www.canva.com/admin/template/EAFcAF1PktQ,https://www.canva.com/admin/template/EAFaDkHvJEE,2023-03-08 01:14:45,5,2,5,
https://www.canva.com/admin/template/EAFcANckg40,https://www.canva.com/admin/template/EAFaDqfgPTg,2023-03-08 03:11:31,5,2,4,
https://www.canva.com/admin/template/EAFdVt7bAyA,https://www.canva.com/admin/template/EAFdVo1DaU0,2023-03-16 06:42:14,5,3,3,
https://www.canva.com/admin/template/EAFcALJx0lc,https://www.canva.com/admin/template/EAFaDhku168,2023-03-08 00:36:39,8,2,1,
https://www.canva.com/admin/template/EAFcAAaG8vo,https://www.canva.com/admin/template/EAFaDmWUbjc,2023-03-08 03:34:52,5,2,4,
https://www.canva.com/admin/template/EAFdVt7bAyA,https://www.canva.com/admin/template/EAFdVo1DaU0,2023-03-16 06:42:14,5,3,3,
https://www.canva.com/admin/template/EAFcAAcro2w,https://www.canva.com/admin/template/EAFaDlGUkEY,2023-03-08 00:22:31,4,2,5,
https://www.canva.com/admin/template/EAFcAVMzPEI,https://www.canva.com/admin/template/EAFaDrTLNgc,2023-03-08 03:44:02,8,2,1,
https://www.canva.com/admin/template/EAFcANckg40,https://www.canva.com/admin/template/EAFaDqfgPTg,2023-03-08 03:11:31,5,2,4,
https://www.canva.com/admin/template/EAFcAJOTzD4,https://www.canva.com/admin/template/EAFaDp_kCRM,2023-03-08 00:21:58,4,2,5,
https://www.canva.com/admin/template/EAFcAGcd8TM,https://www.canva.com/admin/template/EAFaDpWMSBA,2023-03-08 00:21:30,4,2,5,
https://www.canva.com/admin/template/EAFcAsFf-6g,https://www.canva.com/admin/template/EAFaDqS--50,2023-03-08 03:44:19,8,2,1,
https://www.canva.com/admin/template/EAFcAAcro2w,https://www.canva.com/admin/template/EAFaDlGUkEY,2023-03-08 00:22:31,4,2,5,
https://www.canva.com/admin/template/EAFcAJOTzD4,https://www.canva.com/admin/template/EAFaDp_kCRM,2023-03-08 00:21:58,4,2,5,
